CPF rév. 2.1, 2015 - Niveau 6 - Liste des sous-catégories;
25.29.99;Opérations sous-traitées intervenant dans la fabrication de réservoirs, citernes et conteneurs métalliques
25.30.11;"Générateurs produisant de la vapeur ; générateurs produisant de l'eau surchauffée"
25.30.12;"Auxiliaires des générateurs de vapeur ; condensateurs"
25.30.13;Éléments de générateurs de vapeur
25.30.21;Réacteurs nucléaires, à l'exclusion des séparateurs d'isotope
25.30.22;Éléments de réacteurs nucléaires, à l'exclusion des séparateurs d'isotope
25.30.99;Opérations sous-traitées intervenant dans la fabrication de générateurs de vapeur
25.40.11;Armes de guerre, autres que revolvers, pistolets et armes similaires
25.40.12;Revolvers, pistolets, armes à feu de chasse et armes similaires
25.40.13;"Bombes, missiles et armements de guerre similaires ; cartouches, autres munitions et projectiles, et leurs parties"
25.40.14;Parties et pièces d'armes de guerre ou de chasse
25.40.99;Opérations sous-traitées intervenant dans la fabrication d'armes et de munitions
25.50.11;Travaux de grosse forge et de forge libre, sur plan
25.50.12;Travaux d'estampage, sur plan
25.50.13;Travaux de découpage-emboutissage, sur plan
25.50.20;Travaux de la métallurgie des poudres
25.61.11;Revêtement métallique des métaux
25.61.12;Revêtement non métallique des métaux
25.61.21;Traitements thermiques des métaux, autres que revêtement métallique
25.61.22;Autres traitements de surface des métaux
25.62.10;Décolletage
25.62.20;Autres travaux d'usinage
25.71.11;Couteaux et ciseaux, et leurs lames
25.71.12;Rasoirs mécaniques et lames de rasoir, y compris ébauches en bandes
25.71.13;"Autres articles de coutellerie ; outils et trousses de manucure et pédicure"
25.71.14;Cuillères, fourchettes, louches, écumoires, pelles à tartes, couteaux spéciaux à poisson ou à beurre, pinces à sucre et articles similaires
25.71.15;Épées, sabres, baïonnettes, lances et armes similaires, et leurs parties
25.71.99;Opérations sous-traitées intervenant dans la fabrication d'articles de coutellerie
25.72.11;Serrures pour l'automobile et l'ameublement, en métaux communs
25.72.12;Autres serrures, en métaux communs
25.72.13;Fermoirs et montures-fermoirs comportant une serrure, et leurs parties
25.72.14;Ferrures, garnitures, accessoires et articles similaires pour l'automobile, l'ameublement, la menuiserie, en métaux communs
25.72.99;Opérations sous-traitées intervenant dans la fabrication de serrures et ferrures
25.73.10;Outils à main agricoles, horticoles ou forestiers
25.73.20;"Scies à main ; lames de scie de toutes sortes"
25.73.30;Autres outils à main
25.73.40;Outils interchangeables pour outillage à main, mécanique ou non, ou pour machines-outils
25.73.50;"Moules ; châssis de moulage pour la fonderie ; carcasses ; modèles"
25.73.60;Autres outils
25.73.99;Opérations sous-traitées intervenant dans la fabrication d'outillage
25.91.11;Fûts, bidons, tonnelets, boîtes et récipients similaires, pour tout matériau (à l'exclusion du gaz), en fer ou en acier, d'une capacité de 50 l à 300 l, sans dispositif mécanique ou thermique
25.91.12;Fûts, bidons, tonnelets, boîtes et récipients similaires (à l'exclusion de ceux à souder ou à sertir), pour toute matière (à l'exclusion du gaz), en fer ou en acier, d'une capacité inférieure à 50 l, sans dispositif mécanique ou thermique
25.91.99;Opérations sous-traitées intervenant dans la fabrication de bidons métalliques et récipients similaires
25.92.11;Boîtes, en fer ou en acier, à souder ou à sertir, d'une capacité inférieure à 50 l
25.92.12;Fûts, bidons, tonnelets, boîtes et récipients similaires, pour tout matériau (à l'exclusion du gaz), en aluminium, d'une capacité inférieure ou égale à 300 l
25.92.13;Bouchons, bouchons-couronnes, couvercles, capsules, en métaux communs
25.92.99;Opérations sous-traitées intervenant dans la fabrication d'emballages légers métalliques
25.93.11;Torons, câbles, tresses, élingues et articles similaires, en fer ou en acier, non isolés pour l'électricité
25.93.12;"Ronces artificielles en fer ou en acier ; torons, câbles, tresses et articles similaires, en cuivre ou en aluminium, non isolés pour l'électricité"
25.93.13;"Toiles métalliques, grillages et treillis, en fils de fer, d'acier ou de cuivre ; tôles et bandes déployées, en fer, acier ou cuivre"
25.93.14;Pointes, clous, punaises, agrafes et articles similaires
25.93.15;Fils, baguettes, tubes, plaques, électrodes, enrobés ou fourrés pour le soudage
25.93.16;"Ressorts et lames de ressorts, en fer ou en acier ; ressorts en cuivre"
25.93.17;Chaînes et chaînettes (à l'exclusion des chaînes à maillons articulés), et leurs parties
25.93.18;"Aiguilles à coudre, aiguilles à tricoter, passe-lacets, crochets, poinçons à broder et articles similaires, pour usage à la main, en fer ou en acier ; épingles de sûreté et autres épingles en fer ou en acier n.c.a."
25.93.99;Opérations sous-traitées intervenant dans la fabrication d'articles en fils, de chaînes et de ressorts
25.94.11;Vis et boulons filetés, en fer ou en acier, n.c.a.
25.94.12;Vis et boulons non filetés, en fer ou en acier, n.c.a.
25.94.13;Vis et boulons filetés et non filetés, en cuivre
25.94.99;Opérations sous-traitées intervenant dans la fabrication de vis et boulons
25.99.11;Éviers, lavabos, baignoires et autres installations sanitaires, et leurs parties, en fer, acier, cuivre ou aluminium
25.99.12;Articles de table, de cuisine et ménagers, et leurs parties, en fer, acier, cuivre ou aluminium
25.99.21;Coffres-forts, portes blindées et compartiments pour chambres fortes, coffres et cassettes de sûreté et articles similaires, en métaux communs
25.99.22;Boîtes de classement, porte-copies, plumiers, porte-cachets et matériel et fournitures similaires de bureau, en métaux communs, à l'exclusion des meubles de bureau
25.99.23;Mécanismes pour reliure de feuillets mobiles ou pour classeurs, attache-lettres et articles de bureau similaires, agrafes présentées en barrettes, en métaux communs
25.99.24;Statuettes et autres objets d'ornement, cadres et miroirs, en métaux communs
25.99.25;"Fermoirs, montures-fermoirs, boucles, boucles-fermoirs, agrafes, crochets, œillets et articles similaires, en métaux communs, pour vêtements, chaussures, bâches, maroquinerie ou pour toutes confections ou équipements ; rivets tubulaires ou à tige fendue, en métaux communs ; perles et paillettes découpées, en métaux communs"
25.99.26;Hélices et pales d'hélices pour bateaux
25.99.29;Autres articles en métaux communs n.c.a.
25.99.99;Opérations sous-traitées intervenant dans la fabrication d'autres produits métalliques n.c.a.
26.11.11;"Tubes cathodiques pour récepteurs de télévision ; tubes pour caméras de télévision ; autres tubes cathodiques"
26.11.12;Magnétrons, klystrons, tubes à ondes progressives et autres tubes redresseurs
26.11.21;"Diodes ; transistors ; thyristors, diacs et triacs"
26.11.22;"Dispositifs à semi-conducteur ; diodes émettrices de lumière ; cristaux piézo-électriques montés, et leurs parties"
26.11.30;Circuits intégrés électroniques
26.11.40;Parties de tubes, valves et autres composants électroniques n.c.a.
26.11.50;Circuits imprimés nus
26.11.91;Fabrication de circuits intégrés électroniques
26.11.99;Opérations sous-traitées intervenant dans la fabrication de composants électroniques
26.12.10;Circuits imprimés chargés
26.12.20;Cartes son, vidéo, réseau et similaires pour unités automatiques de traitement de l'information
26.12.30;Cartes intelligentes
26.12.91;Impression de circuits et micro-assemblage sur circuits imprimés
26.12.99;Opérations sous-traitées intervenant dans la fabrication de cartes électroniques assemblées
26.20.11;"Micro-ordinateurs portables dont le poids n'excède pas 10 kg, tels que ""laptops"" ou ""note books"" ; assistants personnels numériques et équipements similaires"
26.20.12;Terminaux point de vente, gab et machines similaires, pouvant être connectés à un ordinateur ou un réseau
26.20.13;Unités intégrées de traitement de l'information comportant, sous une même enveloppe, au moins une unité centrale de traitement et un dispositif d'entrée-sortie
26.20.14;Systèmes informatiques
26.20.15;Autres unités intégrées de traitement de l'information, pouvant comporter sous une même enveloppe ou non un ou deux des types d'unités suivants : unité de stockage, unité d'entrée, unité de sortie
26.20.16;Unités d'entrée ou de sortie comportant ou non des unités de stockage sous une même enveloppe
26.20.17;Moniteurs et projecteurs utilisés principalement dans un système informatique
26.20.18;Unités effectuant deux ou plusieurs des fonctions suivantes : impression, scannage, copie, télécopie
26.20.21;Unités de mémoire
26.20.22;Dispositifs à mémoire rémanente à semi-conducteurs
26.20.30;Autres unités pour matériel informatique
26.20.40;Parties et accessoires pour matériel informatique
26.20.91;Fabrication d'ordinateurs et d'équipements périphériques
26.20.99;Opérations sous-traitées intervenant dans la fabrication d'ordinateurs et d'équipements périphériques
26.30.11;Appareils d'émission incorporant un appareil de réception
26.30.12;Appareils d'émission sans appareil de réception
26.30.13;Caméras de télévision
26.30.21;Postes téléphoniques d'usager fixes à combinés sans fil
26.30.22;Téléphones pour réseaux cellulaires et autres réseaux sans fil
26.30.23;Autres postes téléphoniques pour usager et appareils d'émission ou réception vocale, d'images ou d'autres données, y compris les appareils de communication dans un réseau filaire ou sans fil (réseau local ou étendu)
26.30.30;Parties de matériel téléphonique et télégraphique
26.30.40;"Antennes et réflecteurs d'antenne de tous types et leurs parties ; parties d'appareils d'émission pour la radiodiffusion et la télévision et caméras de télévision"
26.30.50;Avertisseurs pour la protection contre le vol ou l'incendie et appareils similaires
26.30.60;Parties d'avertisseurs pour la protection contre le vol ou l'incendie et d'appareils similaires
26.30.99;Opérations sous-traitées intervenant dans la fabrication d'équipements de communication
26.40.11;Récepteurs radio (à l'exclusion de ceux du type utilisé dans les véhicules automobiles) combinés ou non à un appareil d'enregistrement ou de reproduction du son ou à un appareil d'horlogerie
26.40.12;Récepteurs radios ne pouvant fonctionner sans source d'énergie extérieure, du type utilisé dans les véhicules automobiles
26.40.20;Récepteurs de télévision, combinés ou non à un récepteur de radio ou un appareil d'enregistrement ou de reproduction du son ou des images
26.40.31;Électrophones, lecteurs de disques ou de cassettes et autres appareils de reproduction du son
26.40.32;Magnétophones et autres appareils d'enregistrement du son
26.40.33;Caméscopes et autres appareils d'enregistrement et de reproduction vidéographiques
26.40.34;Moniteurs et projecteurs, n'incorporant pas un récepteur de télévision et non utilisés principalement dans un système informatique
26.40.41;Microphones et leurs supports
26.40.42;"Haut-parleurs ; casques d'écoute, écouteurs, et ensembles microphone/haut-parleurs"
26.40.43;"Amplificateurs électriques d'audiofréquence ; appareils électriques d'amplification du son"
26.40.44;Récepteurs de radiotéléphonie ou de télégraphie n.c.a.
26.40.51;Parties et accessoires d'appareils de réception, enregistrement ou reproduction du son et de l'image
26.40.52;Parties d'émetteurs et de récepteurs radio
26.40.60;Jeux vidéo (utilisables avec un récepteur de télévision ou à écran intégré) et autres jeux électroniques
26.40.99;Opérations sous-traitées intervenant dans la fabrication de produits électroniques grand public
26.51.11;"Boussoles et compas de navigation ; autres instruments et appareils de navigation"
26.51.12;"Théodolites, tachéomètres ; autres équipements de géodésie, d'hydrographie, d'océanographie, d'hydrologie, de météorologie ou de géophysique"
26.51.20;Appareils radar et de radionavigation
26.51.31;Balances d'une sensibilité de 5 cg ou supérieure
26.51.32;Tables à dessin et autres instruments de dessin, traçage ou calcul
26.51.33;Instruments de mesure des longueurs, à main (y compris micromètres et pieds à coulisse), n.c.a.
26.51.41;Instruments et appareils de mesure et de détection des radiations ionisantes
26.51.42;Oscilloscopes et oscillographes cathodiques
26.51.43;Instruments de contrôle et de mesure électriques
26.51.44;Instruments et appareils de contrôle en télécommunications
26.51.45;Instruments et appareils de mesure ou de contrôle de grandeurs électriques n.c.a.
26.51.51;Thermomètres, densimètres, pyromètres, baromètres, hygromètres et psychromètres
